Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30  50  70  90 200 

  N/A  -172   -86     0    90    -8   248   521   780  1450    Pix  0 29
  N/A  -154   -69     5    80   -15   264   508   752  1478    Pix  0 30
  N/A  -148   -67    13   103    11   274   531   768  1466    Pix  0 31
  N/A  -128   -38    42   114    33   304   604   844  1476    Pix  0 32
  N/A  -126   -52    28   122    26   314   592   840  1488    Pix  0 33
  N/A  -174  -100   -13    76   -27   250   514   758  1459    Pix  0 34
  N/A  -176  -102   -19    53   -33   232   477   714  1436    Pix  0 35
  N/A  -150   -75     6   100     4   287   562   808  1484    Pix  0 36
  N/A  -178   -91   -17    74   -28   244   516   750  1454    Pix  0 37
  N/A  -143   -69    11   100     0   286   533   789  1455    Pix  0 38
  N/A  -182  -100   -20    72   -26   246   516   752  1462    Pix  0 39
  N/A  -137   -58    34   120    22   312   580   841  1471    Pix  0 40
  N/A  -192  -116   -30    60   -32   232   498   748  1438    Pix  0 41
  N/A  -174   -88   -14    74   -21   236   507   741  1467    Pix  0 42
  N/A  -151   -61    15   109    26   282   558   809  1470    Pix  0 43
  N/A  -170   -75    -4    87    -3   251   519   774  1450    Pix  0 44
  N/A  -150   -70    14    98    13   284   544   791  1471    Pix  0 45
  N/A  -142   -49    42   136    28   341   618   882  1476    Pix  0 46
  N/A  -199  -123   -44    46   -52   203   483   711  1433    Pix  0 47
  N/A  -149   -69    14   105    13   277   539   785  1472    Pix  0 48
  N/A  -127   -32    62   142    44   331   602   880  1480    Pix  0 49
  N/A  -138   -48    39   132    23   322   621   881  1469    Pix  0 50
  N/A  -150   -58    17   111    14   283   531   780  1473    Pix  0 51
  N/A  -167   -94   -19    73   -26   246   499   753  1448    Pix  0 52
  N/A  -179   -82    -6    86    -8   272   534   797  1448    Pix  0 53
  N/A  -166   -82     0    99     1   274   549   800  1471    Pix  0 54
  N/A  -193  -106   -35    53   -37   224   486   728  1439    Pix  0 55
  N/A  -151   -52    32   126    36   322   618   880  1464    Pix  0 56
  N/A  -164   -78    -7    82     0   249   533   757  1466    Pix  0 57
  N/A  -166   -73    -2   107    -8   265   536   799  1457    Pix  0 58
  N/A  -202  -104   -26    56   -28   250   522   780  1444    Pix  0 59
  N/A  -146   -61    20   110    12   291   574   820  1483    Pix  0 60
  N/A  -168   -83    -7    78     0   248   514   763  1456    Pix  0 61
  N/A  -185   -96   -33    48   -37   206   468   702  1432    Pix  0 62
  N/A  -166   -95   -13    78   -16   255   513   738  1455    Pix  0 63
  N/A  -166   -79   -10    77   -19   245   522   747  1452    Pix  0 64
  N/A  -176   -92   -22    72   -12   246   500   756  1438    Pix  0 65
  N/A  -168   -88   -15    66   -27   224   482   726  1459    Pix  0 66
  N/A  -180   -96   -20    56   -37   227   502   734  1451    Pix  0 67
  N/A  -194  -119   -46    35   -47   201   463   705  1429    Pix  0 68
  N/A  -171   -88   -10    72   -13   244   504   726  1456    Pix  0 69
 -256  -169   -93   -18    77   -12   240   524   748  1455    Pix  0 70
  N/A  -174   -96    -4    70   -21   240   510   748  1435    Pix  0 71
  N/A  -166   -83   -13    63   -24   220   466   710  1448    Pix  0 72
  N/A  -156   -73     2    91     8   275   549   802  1463    Pix  0 73
  N/A  -171   -75    11    92   -12   276   542   789  1450    Pix  0 74
  N/A  -156   -76    -3    81     3   251   526   756  1463    Pix  0 75
  N/A  -172   -94   -29    53   -29   218   469   709  1440    Pix  0 76
 -296  -186  -104   -38    48   -44   213   478   711  1431    Pix  0 77
  N/A  -147   -58    12   109    11   273   539   785  1476    Pix  0 78
  N/A  -156   -81   -36    54   -38   211   429   660  1437    Pix  0 79
  N/A  -133   -41    52   145    29   330   634   896  1514    Pix  1  0
  N/A  -104   -17    66   164    58   358   669   926  1514    Pix  1  1
  N/A   -94     2    92   191    85   395   694   976  1509    Pix  1  2
  N/A  -103    -2    80   188    77   384   687   973  1528    Pix  1  3
  N/A  -122   -27    58   149    38   333   633   906  1508    Pix  1  4
  N/A  -141   -48    31   129    33   312   596   861  1491    Pix  1  5
  N/A   -89    12    94   201    98   397   712   988  1534    Pix  1  6
  N/A  -114   -30    60   154    56   341   625   911  1514    Pix  1  7
  N/A  -147   -53    40   131    23   311   599   883  1492    Pix  1  8
  N/A  -104   -10    75   171    64   364   662   934  1523    Pix  1  9
  N/A  -122   -17    67   176    70   375   680   980  1508    Pix  1 10
  N/A  -121   -17    72   178    71   380   672   957  1497    Pix  1 11
  N/A  -132   -42    45   139    36   326   612   876  1507    Pix  1 12
  N/A  -131   -26    58   164    54   363   670   945  1504    Pix  1 13
  N/A  -121   -14    78   172    53   364   670   967  1494    Pix  1 14
  N/A  -130   -34    57   158    43   355   652   924  1509    Pix  1 15
  N/A  -155   -59    15   114    14   301   588   858  1485    Pix  1 16
  N/A  -118   -27    64   170    60   363   670   961  1488    Pix  1 17
  N/A  -144   -52    26   123    23   307   604   864  1505    Pix  1 18
  N/A  -110   -10    72   178    68   373   674   943  1502    Pix  1 19
  N/A  -133   -30    49   143    48   353   646   923  1488    Pix  1 20
  N/A  -112   -14    72   173    68   370   670   944  1511    Pix  1 21
  N/A  -138   -37    51   148    32   349   635   917  1496    Pix  1 22
  N/A  -132   -39    40   156    41   348   645   922  1489    Pix  1 23
  N/A  -124   -32    61   146    48   345   634   905  1504    Pix  1 24
  N/A  -108    -1    88   189    79   388   700   984  1505    Pix  1 25
  N/A  -127   -37    46   148    44   332   627   892  1482    Pix  1 26
  N/A  -148   -61    20   124    14   302   588   864  1495    Pix  1 27
  N/A  -140   -47    34   122    24   312   612   864  1484    Pix  1 28
  N/A  -132   -30    56   155    53   371   666   942  1488    Pix  1 29
  N/A  -103   -14    73   178    73   373   677   949  1514    Pix  1 30
  N/A  -149   -64    25   133    21   316   611   882  1489    Pix  1 31
  N/A  -133   -39    48   144    44   339   640   905  1485    Pix  1 32
  N/A  -121   -28    68   167    57   371   674   946  1509    Pix  1 33
  N/A  -117   -24    68   172    56   374   669   935  1494    Pix  1 34
  N/A  -127   -41    52   149    44   348   640   905  1482    Pix  1 35
  N/A  -152   -59    19   115    14   299   580   834  1490    Pix  1 36
  N/A  -123   -28    66   162    53   352   656   926  1494    Pix  1 37
  N/A  -125   -21    69   179    60   383   694   964  1490    Pix  1 38
  N/A  -144   -61    26   130    24   312   614   890  1498    Pix  1 39
  N/A  -117   -12    83   182    75   396   700   980  1502    Pix  1 40
  N/A  -134   -46    61   167    54   383   696   975  1486    Pix  1 41
  N/A  -115   -14    75   179    70   373   676   931  1505    Pix  1 42
  N/A  -129   -32    61   168    61   383   688   967  1499    Pix  1 43
  N/A  -159   -75     6   100    -1   291   568   837  1468    Pix  1 44
  N/A  -132   -41    46   153    44   344   656   920  1496    Pix  1 45
  N/A  -144   -39    55   156    52   369   692   968  1489    Pix  1 46
  N/A  -151   -52    34   148    33   347   658   936  1473    Pix  1 47
  N/A  -169   -75     3   104     2   292   579   844  1479    Pix  1 48
  N/A  -130   -45    55   139    42   333   621   885  1484    Pix  1 49
