Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+1.853093e-03 +6.842331e-01 +1.163386e+03 +3.604737e+02     Pix  2 15
+1.844438e-03 +7.403716e-01 +1.133486e+03 +3.721373e+02     Pix  2 16
+1.755961e-03 +7.378592e-01 +1.149066e+03 +3.430578e+02     Pix  2 17
+2.042246e-03 +8.116169e-01 +1.102173e+03 +4.009070e+02     Pix  2 18
+2.136465e-03 +8.382256e-01 +1.079362e+03 +4.067359e+02     Pix  2 19
+1.840305e-03 +7.555519e-01 +1.132529e+03 +3.593807e+02     Pix  2 20
+1.881719e-03 +7.636819e-01 +1.128279e+03 +3.891437e+02     Pix  2 21
+1.860547e-03 +7.003101e-01 +1.157945e+03 +3.451901e+02     Pix  2 22
+1.803957e-03 +6.903878e-01 +1.145483e+03 +3.513294e+02     Pix  2 23
+2.076198e-03 +7.945031e-01 +1.118852e+03 +3.837010e+02     Pix  2 24
+1.809989e-03 +6.511489e-01 +1.188748e+03 +3.282452e+02     Pix  2 25
+1.885345e-03 +7.375258e-01 +1.130427e+03 +3.616734e+02     Pix  2 26
+1.977492e-03 +7.747947e-01 +1.111057e+03 +3.984005e+02     Pix  2 27
+1.948583e-03 +7.677731e-01 +1.114284e+03 +3.722445e+02     Pix  2 28
+1.912797e-03 +7.671030e-01 +1.116034e+03 +3.629731e+02     Pix  2 29
+1.730444e-03 +7.146720e-01 +1.168970e+03 +3.554600e+02     Pix  2 30
+1.895228e-03 +7.493380e-01 +1.125926e+03 +3.728301e+02     Pix  2 31
+1.847234e-03 +7.472326e-01 +1.128140e+03 +3.592283e+02     Pix  2 32
+1.887212e-03 +7.376505e-01 +1.148286e+03 +3.475674e+02     Pix  2 33
+1.750090e-03 +7.000238e-01 +1.167609e+03 +3.278572e+02     Pix  2 34
+1.964021e-03 +7.707594e-01 +1.106945e+03 +3.645470e+02     Pix  2 35
+1.888884e-03 +7.858443e-01 +1.113626e+03 +3.882733e+02     Pix  2 36
+1.988918e-03 +7.680497e-01 +1.112782e+03 +3.620025e+02     Pix  2 37
+1.880858e-03 +7.470575e-01 +1.135165e+03 +3.338065e+02     Pix  2 38
+1.827722e-03 +7.362188e-01 +1.138350e+03 +3.653891e+02     Pix  2 39
+1.873160e-03 +7.046882e-01 +1.151605e+03 +3.389238e+02     Pix  2 40
+1.933658e-03 +7.409834e-01 +1.129103e+03 +3.365016e+02     Pix  2 41
+1.903394e-03 +7.709540e-01 +1.118503e+03 +3.809448e+02     Pix  2 42
+1.742725e-03 +6.799837e-01 +1.169071e+03 +3.420344e+02     Pix  2 43
+1.884180e-03 +7.314810e-01 +1.128601e+03 +3.475298e+02     Pix  2 44
+1.903451e-03 +7.549599e-01 +1.112815e+03 +3.849244e+02     Pix  2 45
+1.976650e-03 +7.895610e-01 +1.103012e+03 +3.665148e+02     Pix  2 46
+1.751315e-03 +7.261246e-01 +1.147267e+03 +3.332027e+02     Pix  2 47
+1.773576e-03 +6.689476e-01 +1.175171e+03 +3.257059e+02     Pix  2 48
+1.835303e-03 +7.288876e-01 +1.132006e+03 +3.586886e+02     Pix  2 49
+1.828099e-03 +7.063895e-01 +1.147324e+03 +3.317751e+02     Pix  2 50
+1.769589e-03 +6.992014e-01 +1.154160e+03 +3.489635e+02     Pix  2 51
+1.879747e-03 +7.300533e-01 +1.140632e+03 +3.350925e+02     Pix  2 52
+1.752650e-03 +6.865035e-01 +1.166639e+03 +2.995202e+02     Pix  2 53
+1.773697e-03 +6.922593e-01 +1.163224e+03 +3.438255e+02     Pix  2 54
+1.838556e-03 +7.131795e-01 +1.147112e+03 +3.352529e+02     Pix  2 55
+1.752611e-03 +7.288488e-01 +1.145029e+03 +3.292866e+02     Pix  2 56
+1.913545e-03 +7.215593e-01 +1.123943e+03 +3.780139e+02     Pix  2 57
+1.682760e-03 +6.739564e-01 +1.181214e+03 +3.087600e+02     Pix  2 58
+1.865012e-03 +6.781052e-01 +1.159328e+03 +3.031507e+02     Pix  2 59
+1.890975e-03 +7.902599e-01 +1.111073e+03 +3.808601e+02     Pix  2 60
+1.759019e-03 +7.300232e-01 +1.143331e+03 +3.459413e+02     Pix  2 61
+1.909572e-03 +7.780058e-01 +1.116500e+03 +3.466335e+02     Pix  2 62
+1.820726e-03 +7.588400e-01 +1.141451e+03 +3.503078e+02     Pix  2 63
+1.812250e-03 +7.170254e-01 +1.149730e+03 +3.402700e+02     Pix  2 64
+1.712239e-03 +6.959165e-01 +1.164351e+03 +3.095558e+02     Pix  2 65
+1.710546e-03 +6.264060e-01 +1.207848e+03 +3.064219e+02     Pix  2 66
+2.121338e-03 +7.765587e-01 +1.104129e+03 +3.722331e+02     Pix  2 67
+1.671020e-03 +6.763539e-01 +1.184669e+03 +3.024351e+02     Pix  2 68
+1.957209e-03 +7.640696e-01 +1.127347e+03 +3.601801e+02     Pix  2 69
+1.701186e-03 +7.092106e-01 +1.153564e+03 +3.531551e+02     Pix  2 70
+1.770823e-03 +7.055892e-01 +1.147202e+03 +3.308189e+02     Pix  2 71
