Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+4.400495e-03 +1.193502e+00 +6.046820e+02 +5.110302e+01     Pix  2 15
+4.427856e-03 +1.181899e+00 +5.993423e+02 +5.221741e+01     Pix  2 16
+4.344013e-03 +1.167692e+00 +5.974585e+02 +5.366709e+01     Pix  2 17
+4.396446e-03 +1.170028e+00 +6.000814e+02 +5.745293e+01     Pix  2 18
+4.387336e-03 +1.163608e+00 +6.011683e+02 +5.188069e+01     Pix  2 19
+4.416503e-03 +1.162554e+00 +5.977848e+02 +5.189543e+01     Pix  2 20
+4.264941e-03 +1.149696e+00 +6.119951e+02 +4.514256e+01     Pix  2 21
+4.321390e-03 +1.114562e+00 +6.117022e+02 +4.179884e+01     Pix  2 22
+4.366748e-03 +1.163268e+00 +6.025695e+02 +4.881258e+01     Pix  2 23
+4.272027e-03 +1.162831e+00 +6.072596e+02 +5.188963e+01     Pix  2 24
+4.235099e-03 +1.142040e+00 +6.092008e+02 +4.658324e+01     Pix  2 25
+4.242183e-03 +1.132524e+00 +6.088815e+02 +4.520477e+01     Pix  2 26
+4.268352e-03 +1.162628e+00 +6.015410e+02 +5.401652e+01     Pix  2 27
+4.357230e-03 +1.182078e+00 +6.041752e+02 +4.480489e+01     Pix  2 28
+4.426082e-03 +1.116873e+00 +5.981052e+02 +5.353383e+01     Pix  2 29
+4.340116e-03 +1.145965e+00 +6.047035e+02 +5.269475e+01     Pix  2 30
+4.227606e-03 +1.191212e+00 +6.141890e+02 +3.703890e+01     Pix  2 31
+4.268427e-03 +1.155251e+00 +6.052738e+02 +4.404392e+01     Pix  2 32
+4.213238e-03 +1.119486e+00 +6.164623e+02 +3.879733e+01     Pix  2 33
+4.329401e-03 +1.121450e+00 +6.072030e+02 +4.647868e+01     Pix  2 34
+4.217151e-03 +1.140721e+00 +6.090850e+02 +4.032907e+01     Pix  2 35
+4.206308e-03 +1.154585e+00 +6.157485e+02 +3.989021e+01     Pix  2 36
+4.215489e-03 +1.156368e+00 +6.154230e+02 +3.743777e+01     Pix  2 37
+4.201801e-03 +1.095570e+00 +6.189462e+02 +3.245626e+01     Pix  2 38
+4.334626e-03 +1.137067e+00 +6.074133e+02 +4.800632e+01     Pix  2 39
+4.172542e-03 +1.102033e+00 +6.130472e+02 +4.118500e+01     Pix  2 40
+4.237357e-03 +1.137109e+00 +6.071743e+02 +4.205274e+01     Pix  2 41
+4.217713e-03 +1.166389e+00 +6.112999e+02 +4.744218e+01     Pix  2 42
+4.153084e-03 +1.161416e+00 +6.184887e+02 +3.599520e+01     Pix  2 43
+4.183364e-03 +1.163480e+00 +6.048184e+02 +4.475408e+01     Pix  2 44
+4.328050e-03 +1.116846e+00 +6.071342e+02 +4.538448e+01     Pix  2 45
+4.198547e-03 +1.127226e+00 +6.192039e+02 +2.920200e+01     Pix  2 46
+4.296615e-03 +1.136625e+00 +6.030536e+02 +4.340708e+01     Pix  2 47
+4.195251e-03 +1.150371e+00 +6.123790e+02 +4.368772e+01     Pix  2 48
+4.216042e-03 +1.146402e+00 +6.173949e+02 +3.428277e+01     Pix  2 49
+4.255920e-03 +1.162447e+00 +6.124455e+02 +3.309387e+01     Pix  2 50
+4.214064e-03 +1.128301e+00 +6.131662e+02 +3.822278e+01     Pix  2 51
+4.138455e-03 +1.117717e+00 +6.119629e+02 +3.588338e+01     Pix  2 52
+4.066997e-03 +1.115106e+00 +6.250144e+02 +1.854645e+01     Pix  2 53
+4.197368e-03 +1.118894e+00 +6.144666e+02 +3.650766e+01     Pix  2 54
+4.133941e-03 +1.132934e+00 +6.124135e+02 +3.864716e+01     Pix  2 55
+4.214181e-03 +1.185281e+00 +6.131058e+02 +3.448197e+01     Pix  2 56
+3.955741e-03 +1.170371e+00 +6.218190e+02 +2.707669e+01     Pix  2 57
+4.052873e-03 +1.154755e+00 +6.136633e+02 +3.319545e+01     Pix  2 58
+4.156030e-03 +1.132182e+00 +6.159378e+02 +3.132614e+01     Pix  2 59
+4.248823e-03 +1.155526e+00 +6.154341e+02 +3.602046e+01     Pix  2 60
+4.103186e-03 +1.092646e+00 +6.140756e+02 +4.050706e+01     Pix  2 61
+4.164843e-03 +1.166113e+00 +6.115512e+02 +3.476044e+01     Pix  2 62
+4.213547e-03 +1.144153e+00 +6.104496e+02 +3.966976e+01     Pix  2 63
+4.117130e-03 +1.101773e+00 +6.210400e+02 +3.008734e+01     Pix  2 64
+4.206493e-03 +1.121093e+00 +6.116260e+02 +3.594686e+01     Pix  2 65
+4.091284e-03 +1.125830e+00 +6.257885e+02 +2.874473e+01     Pix  2 66
+4.190603e-03 +1.127863e+00 +6.191447e+02 +3.505609e+01     Pix  2 67
+4.163792e-03 +1.131110e+00 +6.166643e+02 +3.065607e+01     Pix  2 68
+3.958922e-03 +1.119094e+00 +6.289447e+02 +2.425805e+01     Pix  2 69
+4.182065e-03 +1.116661e+00 +6.165996e+02 +3.399602e+01     Pix  2 70
+4.144704e-03 +1.125358e+00 +6.123532e+02 +3.539284e+01     Pix  2 71
+4.166107e-03 +1.150191e+00 +6.170016e+02 +3.943962e+01     Pix  2 72
+3.831199e-03 +1.146220e+00 +6.331491e+02 +1.927023e+01     Pix  2 73
+4.114114e-03 +1.122190e+00 +6.131374e+02 +3.746837e+01     Pix  2 74
+4.083731e-03 +1.119817e+00 +6.223190e+02 +3.093573e+01     Pix  2 75
+4.093374e-03 +1.103611e+00 +6.203160e+02 +3.258509e+01     Pix  2 76
+4.051574e-03 +1.097863e+00 +6.198304e+02 +2.797140e+01     Pix  2 77
+4.105430e-03 +1.126169e+00 +6.242551e+02 +3.140088e+01     Pix  2 78
+3.135715e-03 +1.084909e+00 +6.332519e+02 +1.630483e+01     Pix  2 79
+4.354131e-03 +1.185276e+00 +5.994825e+02 +6.204511e+01     Pix  3  0
+4.541073e-03 +1.220869e+00 +5.935100e+02 +6.623780e+01     Pix  3  1
+4.506718e-03 +1.200002e+00 +5.948583e+02 +6.507959e+01     Pix  3  2
+4.548316e-03 +1.211642e+00 +5.954160e+02 +6.623609e+01     Pix  3  3
+4.566913e-03 +1.182799e+00 +5.998882e+02 +5.968549e+01     Pix  3  4
+4.511481e-03 +1.217512e+00 +5.980423e+02 +6.169231e+01     Pix  3  5
+4.502097e-03 +1.182341e+00 +6.063782e+02 +5.883864e+01     Pix  3  6
+4.473425e-03 +1.155867e+00 +6.009177e+02 +6.212930e+01     Pix  3  7
+4.427675e-03 +1.220728e+00 +6.008281e+02 +6.189950e+01     Pix  3  8
+4.431873e-03 +1.215889e+00 +6.038015e+02 +5.060149e+01     Pix  3  9
